ml,mAU
116.90,-22.91
117.04,-22.99
117.17,-23.07
117.30,-23.12
117.44,-23.21
117.57,-23.28
117.70,-23.34
117.83,-23.43
117.97,-23.49
118.10,-23.58
118.23,-23.64
118.37,-23.68
118.50,-23.75
118.63,-23.80
118.77,-23.87
118.90,-23.90
119.03,-23.96
119.17,-24.01
119.30,-24.02
119.43,-24.05
119.57,-24.13
119.70,-24.14
119.83,-24.16
119.97,-24.15
120.10,-24.17
120.23,-24.21
120.37,-24.20
120.50,-24.19
120.63,-24.17
120.77,-24.21
120.90,-24.19
121.03,-24.17
121.17,-24.19
121.30,-24.12
121.43,-24.18
121.57,-24.16
121.70,-24.14
121.83,-24.20
121.97,-24.21
122.10,-24.25
122.23,-24.26
122.37,-24.24
122.50,-24.24
122.63,-24.25
122.77,-24.26
122.90,-24.25
123.03,-24.25
123.17,-24.23
123.30,-24.19
123.43,-24.20
123.57,-24.22
123.70,-24.20
123.83,-24.18
123.97,-24.18
